Renda,Score
8270,500.2440443038679
1860,297.59961321788353
6390,608.415652077622
6191,519.2319862141159
6734,497.6319158026932
7265,557.3380519474306
1466,172.84573285674463
5426,342.13528932315563
6578,517.5850208416841
9322,589.192916916852
2685,216.9160951319327
1769,194.42043669764467
7949,490.9223847659217
3433,328.37144413140106
6311,494.65613973565195
6051,496.9374229796679
7420,565.7166165054381
2184,296.9498898622368
5555,417.39170549477126
4385,338.076130250752
7396,444.3923355226258
9666,688.2823487892409
3558,319.0133939364672
8849,571.930834565685
3047,361.33581723503505
3747,292.4396030272161
1189,251.1897709615214
3734,351.52806921644856
4005,298.3585061742259
5658,429.10981274859074
2899,343.5981766877894
8734,626.4797731947972
2267,338.1217126441737
2528,293.30906259966594
4556,546.4148126813336
4890,348.4804597466312
9838,621.96808049924
6393,466.60679562626274
9792,568.6624770704299
9433,673.7745808669712
8513,620.8266245312922
3612,331.5500165531075
8041,525.3291773163247
7235,436.9973064592832
6486,434.837083565104
8099,592.1355641885614
1775,228.14192891441868
9226,589.9565602980138
4152,382.67241657624027
2585,337.1593326466014
